word,word_type,translation,example
dřez,noun (mi),sink,V kuchyni je nový dřez.
člen,noun (mi),member,Člen klubu se pravidelně schází.
evropan,noun (ma),European,Evropan se zajímá o různé kultury.
členství,noun (n),membership,Mám aktivní členství v klubu.
noční stolek,noun (mi),nightstand,Na nočním stolku leží kniha.
knihovna,noun (f),library,V knihovně je mnoho knih.
police,noun (f),police,Policie chrání naše město.
nádobí,noun (n),dishes,Nádobí je umyté.
kytka,noun (f),flower,Na zahradě roste krásná kytka.
šéf,noun (mi),boss,Můj šéf je velmi milý.
dovolená,noun (f),holiday,Na dovolené jsme byli u moře.
houpací,adjective,rocking,Houpací křeslo je velmi pohodlné.
těsně před,preposition,just before,Přijdu těsně před začátkem schůzky.
raději,adverb,rather,Raději jdu na procházku než zůstávám doma.
kuchyňský kout,noun (mi),kitchen corner,V našem novém bytě máme krásný kuchyňský kout.
čtverečný,adjective,square,Stůl má čtverečný tvar.
radši,adverb,rather,Dám radši čaj než kávu.
pronajmout,verb,to rent,Chci pronajmout svůj byt.
pronajmout si,verb,to rent,Rozhodl jsem se pronajmout si byt.
sídlíště,noun (n),housing estate,V našem městě je nové sídliště.
centrum,noun (n),center,V městě je nové centrum pro mladé.
hračka,noun (f),toy,Děti si hrají s hračkou.
země,noun (f),land,Česká republika je krásná země.
pohovor,noun (mi),interview,Na pohovoru jsem se setkal s několika zajímavými lidmi.
kraj,noun (mi),region,Každý kraj má své vlastní tradice.
držím,verb,I hold,Já držím knihu.
budova,noun (f),building,Ta budova je velmi vysoká.
osobní,adjective,personal,"Mám osobní záležitosti, které musím vyřešit."
vězení,noun (n),prison,On byl poslán do vězení.
docela,adverb,quite,Dnes je docela hezky.
relativně,adverb,relatively,Tato situace je relativně jednoduchá.
kurník,noun (mi),chicken coop,Na zahradě máme velký kurník.
kadibudka,noun (f),toilet hut,Jdeme do kadibudky.
obývák,noun (mi),living room,V obýváku máme velkou pohovku.
dvůr,noun (mi),courtyard,Na dvůr se shromáždili lidé.
přistřešek,noun (mi),shelter,Pod přistřešek jsme se schovali před deštěm.
dostupný,adjective,available,Tento produkt je dostupný v našem obchodě.
strana,noun (f),side,Na pravé straně je park.
veranda,noun (f),veranda,Na verandě jsem si užil sluníčka.
podle,preposition,according to,Podle mě bys měl přijít dříve.
kupovat,verb,to buy,Chci kupovat nový telefon.
nábytek,noun (mi),furniture,Koupil jsem nový nábytek do obývacího pokoje.
koupelna,noun (f),bathroom,Moje koupelna je velmi prostorná.
šipka,noun (f),arrow,"Na mapě byla vyznačena šipka, která ukazovala správný směr."
ložnice,noun (f),bedroom,Moje ložnice je velmi útulná.
potkat,verb,to meet,Dnes chci potkat svého přítele.
předsíň,noun (f),entrance hall,V předsíni bylo hodně bot.
počkat,verb,to wait,"Počkat tady, prosím."
lžice,noun (f),spoon,Na stole leží jedna lžice.
potřebovat,verb,to need,Potřebuji pomoc.
přesně,adverb,exactly,"Řekl to přesně tak, jak to myslel."
prodávat,verb,to sell,On prodává jablka na trhu.
půda,noun (f),soil,Půda je nezbytná pro růst rostlin.
sklep,noun (mi),cellar,Máme v domě sklep.
starost,noun (f),care,Starost o zvířata je důležitá.
dopsat,verb,to complete writing,Musím dopsat svoji práci do konce týdne.
hnědý,adjective,brown,Mám hnědý klobouk.
linka,noun (f),line,Na stole je modrá linka.
ledníčka,noun (f),icebox,Na ledníčku jsem dal veškeré jídlo.
myčka,noun (f),dishwasher,Koupili jsme novou myčku.
místnost,noun (f),room,Místnost je velmi prostorná.
obraz,noun (mi),picture,Na zdi visí krásný obraz.
barva,noun (f),color,Barva této zdi je modrá.
oranžový,adjective,orange,Ten dům je oranžový.
pohovka,noun (f),sofa,Na pohovce sedí kočka.
sedáček,noun (mi),little seat,Dám si sedáček do rohu místnosti.
sprcha,noun (f),shower,Mám novou sprchu v koupelně.
sporák,noun (mi),stove,Na sporáku vařím oběd.
stůl,noun (mi),table,Na stole je kniha.
vana,noun (f),bathtub,Děti si hrají ve vaně.
růžový,adjective,pink,Růžový květ roste na zahradě.
skříň,noun (f),wardrobe,V ložnici stojí nová skříň.
šedý,adjective,gray,Ten šedý dům je starý.
